V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
Os01g0128000	23.708021943476	18.5254056690646	4.45503800095024	17.7577356897715	7.92265730267338	6.62990437866694	37.3501225001086	10.0458593600103	7.75827169080392	32.199760393294	14.8243687942597	11.5589398021572	17.003647040016	16.2866032017974	8.79294277384477	25.1606156849936	12.7695649451566	9.55459128725511
Os01g0130000	3616.42706211079	1907.7631836415	2008.02934212162	3668.67295809452	2327.88746965371	2691.03887375112	3923.04220378111	2096.74665080786	1814.69716154384	3469.44441089866	1969.76020402312	2462.74312967451	3306.10745694605	2351.62508160807	1811.70201413377	2937.30072899944	1892.33108455481	1529.95449578227
Os01g0138500	120.806458001489	41.7378138165451	57.7585253714743	95.3746402325276	74.1395627750036	134.881653219737	75.7209757692272	41.4377179399743	44.4504664601573	65.1092605218349	29.8473494101126	133.733324573127	128.421311527983	27.6708124346881	33.124428982409	43.2680444847681	46.9640631694473	182.057565608965
Os01g0142500	1370.65932044508	759.794249294939	742.205307848175	1375.6678062928	1036.61037224854	837.921434296726	1329.25190597281	950.335598541492	697.834076189532	1147.08303421094	836.226969524088	771.213513237668	1343.94824424787	930.401067899476	680.418421608412	1126.28975390578	782.670337326783	699.520943776939
Os01g0172701	60.2442206551181	21.1341133618642	6.69100979146193	85.8774392456884	75.2035260874366	61.5867876222078	51.3874454708754	41.1737360080191	29.8157161853953	67.5647625409192	93.3061125866719	43.8949304673097	46.6937290550441	28.3570979204484	17.1985628213943	81.6522290182317	42.4848752805937	96.0658448354708
Os01g0179800	599.798708808972	280.727684394313	154.099326316495	812.468967003241	391.623325902581	138.925975666495	593.544683190594	331.838769370263	156.219413227565	383.506272515772	249.237761590121	130.351328644829	402.076397301956	312.837522062529	127.621994507757	635.289415441574	239.439620919004	211.530569908493
Os01g0180050	35.7106943431201	0	0	21.1759025123539	51.2559208807718	0	0	0	0	0	0	0	0	0	0	0	0	74.7752956658922
Os01g0190300	235.714773680635	128.101343758658	98.2592349251793	227.383812574023	145.584073817368	124.099246835458	211.420248042059	217.400535450614	168.970363149253	259.743642503606	274.820908779281	138.514030523942	238.93207151864	214.666438054126	187.652498285475	459.848618027743	217.64236160876	199.523753254069
Os01g0191200	120.021466843678	77.1720752688168	43.4370537104286	249.976911812951	73.4494178406311	106.266826320345	86.9211445521033	71.606875809716	29.5819071124187	203.102472461405	122.065060424744	180.293249529198	141.027223153039	92.3662248657163	39.8577494654856	335.291061290574	81.0667147872304	85.9384112515183
Os01g0191700	3443.00458131018	329.001051422625	287.514686226261	3191.38571026479	329.901360372203	793.382958596077	4801.67542332325	390.930167220683	354.879724843766	4384.30301163471	371.836130005208	530.201871630598	2722.26865449827	306.915450213784	362.420242985913	1574.49317294539	261.495967689381	203.347101764677
Os01g0201200	770.696905205325	290.989315856965	303.747082897759	721.357288497973	433.428386291129	427.520369638433	932.178810198715	349.878697955186	261.448461046523	794.544579334345	341.807391155423	340.661012022019	686.248896140165	356.314568032959	230.601647445076	536.278080620733	299.832113965347	221.308023179001
