V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
Os01g0110100	106.406976927153	160.518600011983	230.602799661219	177.742733040314	239.964814234387	227.99167970153	94.2858461672959	261.395176534908	179.592431676738	104.926288967927	247.702054753138	153.479862912934	80.0820668437585	301.360918355409	210.806790295204	194.620449712988	364.272148972465	311.593232119781
Os01g0110200	1716.79798036355	5267.42562350694	5694.19920553913	2848.35717797745	5797.13096832306	6396.13588134735	2794.30658249459	5088.26430494922	5544.43806314535	3135.48011911789	7156.66719594724	6005.26240628286	2154.86281454841	4561.07523707689	4141.78867408784	2984.53993863291	7322.3794051608	5178.04350795343
Os01g0111100	171.579131600095	196.714809176319	184.400606905321	218.921801022712	219.599496419725	144.241449830626	183.91544166254	318.532213554394	165.790842693912	179.597383596712	291.752690681915	219.694169908566	136.001772046606	232.545949889519	204.896502824307	195.406217701793	242.988458170536	167.979287603492
Os01g0113200	49.2948543432764	78.566566577534	76.9237014690923	43.3113333793347	47.9213288919536	48.1075511429959	43.0151262261842	86.5618425018888	106.914484502229	52.3914316152342	55.6301999803153	49.0755515798914	32.7469766331693	85.8153131399383	100.942176702382	53.0006953544952	58.1551993537952	50.0545343605677
Os01g0132766	957.613050434172	3483.48410332465	4376.93423786704	4160.92189965572	4481.14922855472	4541.05014668713	1591.62246430743	3700.91058935911	4199.51316616116	3403.20707813506	4442.83437078277	3963.38049168377	1195.97567834524	4930.8672607103	3444.48448305724	4880.91913318653	4964.58575486524	4072.83261834533
Os01g0132800	179.190027798686	260.780974101821	301.742318823751	225.902912622061	323.562568501034	410.569639980175	238.599943864062	321.043063661329	366.453360981014	312.154277562734	428.34508067199	368.43957972507	183.589157259945	316.148533451319	335.051120041269	169.944199951481	311.513773500451	305.893105784612
Os01g0135700	102.578622953836	219.043462965048	238.46729507003	131.098464318899	255.728385282454	259.295160349272	81.8694322464837	128.831097056959	249.992675531502	238.637349930851	291.677031701604	287.3639520302	118.688958371529	156.223938234084	220.953495254988	206.900799225578	254.10175961569	337.600191662634
Os01g0149900	113.248467962866	204.986929362778	260.874926985904	127.909129054769	183.86788151315	234.823007147938	132.626520626769	221.328434032346	237.70960066575	203.078529626201	209.234454085133	223.900993680062	143.455774473957	182.872804000205	213.088130767734	156.216834822012	169.036602590431	153.988561154647
Os01g0153600	22.1141239487668	118.118635352126	113.878833577494	12.2379567899123	63.4213828133215	82.7833825427015	17.2366896293898	97.6052380596549	135.163130240412	0	67.7607479974867	104.928318134283	12.4614468174507	37.6173723453474	109.668231635012	15.3526777623173	55.6439554809769	27.7157365656289
Os01g0170900	29.2931243951914	72.1623629308672	96.2268572153887	36.4396561673548	61.5938668089466	134.513046923839	21.4843409741915	54.07505928195	100.683920131667	31.3688159628773	58.1765816868145	62.8490915550962	22.4221603818963	69.9928085143807	95.5865846400545	27.4146285350733	137.565874863163	165.876399335502
