V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
Os01g0126900	2984.29263289654	2781.22000750302	2869.31971058722	1820.34944370915	1594.14219164926	2263.39798046419	3652.99311369486	3201.90597019873	3751.10743955975	2863.5821074438	1832.27381580236	2302.6604140253	2642.47609785199	2022.46855630571	3211.30430953972	1151.35864195607	884.955922834468	908.596021768777
Os01g0164075	30.4072790770694	74.9379676119606	52.6283954810694	4.04012595470951	9.76254380679543	36.0400614444763	17.9657098607726	123.415311952197	93.9553034690308	0	52.866115348016	55.9070204781331	123.511784568639	12.6216388938798	95.1469632287869	5.85043554221596	15.9673661358889	4.26546748375867
Os01g0170051	744.796633855106	574.603401939314	797.165234401274	246.710083835941	483.667013943654	1137.29709687968	922.429468171952	860.729358933924	820.881251774394	726.374239260984	526.208467264806	1145.94631710524	689.816710365123	426.063808918311	889.2343170122	191.996848563222	172.206645432623	303.623335365118
Os01g0294500	459.543731766192	426.913580549242	169.076651466513	169.88089594263	110.125259040511	194.57192497715	376.58437555558	381.070059303078	271.925265163055	79.7122404190817	191.90040017824	287.052781074273	819.165466183503	107.893787104776	384.47612298625	106.442499514337	75.7541087051863	35.5018803156644
Os01g0315800	2425.96336056251	2369.18373098596	2533.7191459737	376.188249399408	411.04985329461	430.837057776189	2606.07991609776	2619.06923146889	2502.78839386958	362.660804772532	331.659418713229	367.917524874571	2453.67382258695	2448.52163188298	2382.15140101677	399.383013228674	404.755978626631	461.621464330841
Os01g0315850	147.725210268261	86.6139992394549	124.063358297184	21.6665891837566	21.4416801685724	22.0798120120159	112.643877392257	168.0051010679	80.8289605906401	12.5963481330568	39.9123774024182	10.3754851382034	54.739006282921	110.071839439956	83.5891376813525	31.9263653616832	21.982006833772	18.0232327453162
Os01g0318600	294.612966921101	300.681187018647	230.408481637077	165.97188988309	211.730820123614	220.141028360607	348.918008396281	211.640979069851	233.623952126932	212.008706950607	174.564871772314	235.932424197935	258.025910223734	184.803002311731	290.527899291781	152.079827682006	172.082442071484	185.582406213807
Os01g0339500	50.2313587731776	32.863556409387	27.2020188317683	10.4216658881047	17.5526765149167	13.2709857893834	56.2713670855406	44.1782529371118	39.599595650398	16.4780675169435	22.7386531549514	10.4628707492496	35.7819691275518	56.64237192504	28.9727485708318	22.4190958654535	8.27546955726411	30.1229032633219
Os01g0356400	2828.46522074872	2902.77772038114	2771.72913953094	1905.6313889029	2438.10748462881	2861.97077578886	3036.38183459057	3273.62577562615	2902.99305851577	2643.50514010069	2577.51952662927	2464.17748937765	2449.62779221429	2432.06964375126	3184.11645200542	1141.40131139629	1631.96412551676	1679.16677054802
Os01g0370000	348.275543936315	731.093574607213	653.348529624951	172.30550537038	344.321238573599	511.616440436863	297.252672535885	527.666822433111	637.410644431674	179.129917971014	353.934854863651	522.193258768971	445.988011097183	522.051067771046	984.70194224102	85.6405513883381	192.573262555188	128.065648452072
Os01g0371500	1954.02909800834	4211.21608701404	4396.20121319468	903.768103326174	2583.47902529044	3944.22948539471	1693.33936564557	3747.47586962429	4572.32113000452	1515.19816685491	2288.32974578702	3408.89671184293	1846.20142454554	2472.37817213291	5533.95664352227	623.321724473367	1642.20538238391	1226.67510294392
Os01g0507000	625.49617225492	488.724799005307	692.5555795303	440.389775139985	560.473710302595	908.395734304893	574.128679863318	368.645666671235	426.965941896798	392.60462031905	341.463680341277	760.468089820282	545.938661619096	512.380937151567	461.346106469054	294.70562991286	348.241172916318	614.517574544293
Os01g0609000	74.8034959272726	226.891744252695	219.897181366958	46.8349766346743	73.1723051737169	144.606519244892	80.4059008114832	236.273483411178	223.066722239367	6.33535990265624	102.763206534509	147.177370024658	170.278065922381	85.3976393292358	421.236099725566	28.4987410884442	58.226949523942	63.0572331351156
Os01g0654100	639.738220489889	799.085546693799	927.846775973025	407.837475548463	547.919592747249	965.283192569967	667.336821291817	1157.22237384623	1264.27973911138	469.045772301481	1053.49745486164	1090.87193308346	719.614242279085	747.452684191471	1221.24873846838	377.344824814005	823.004330629048	1115.81030453401
Os01g0654650	611.205665931351	635.726974302916	428.723284282305	299.264182217931	436.720189960294	320.438647504948	523.156002728961	545.031222487142	576.190649863748	480.434035999262	507.77322774073	376.835771768391	582.515083554874	317.644136922084	640.927766099469	206.623106906252	278.037420399038	198.057820781501
Os01g0695100	3629.86365387037	6824.43138280062	5139.17598702686	2206.15081931448	3092.28777795477	3439.37995595476	3053.73967254405	4340.07630051828	5861.05297037731	1840.19937029271	3075.07138814133	4306.76866768422	4790.36144073868	3572.99875181935	6380.36274279584	2531.22869290562	3388.29973678838	3355.9117857816
Os01g0695150	2502.10874047577	4435.0354023706	3740.284103975	1667.47580078969	2247.63106201206	2496.37334181438	2146.50842114599	3174.30961624209	4403.65706465725	1334.05773086201	2028.23106617586	3058.78131272883	2948.55110461913	2359.16079935518	4266.2413035619	1522.8115679552	2037.52075179838	1838.58684222317
Os01g0699100	280.263690365056	64.9716600753629	66.6565371712437	163.530696794964	53.562900764893	123.117117725695	289.571783431385	77.8249558104325	72.5217540063075	167.982851925059	82.2350391860584	102.539400699831	233.826164958746	37.6986508904395	65.6518411116188	127.486806859891	45.5268693352791	133.681030420752
Os01g0771000	468.840504407214	636.796056012072	643.69057825118	250.311506589167	545.446080873559	815.783697466432	419.551011939175	602.955920165321	669.369924828452	277.437014400831	502.77185798751	811.938043390715	394.709931946758	417.622855298602	643.592481119565	176.878495583377	410.422529552611	356.79383994164
Os01g0775100	1417.22621575974	1018.60633897844	1154.16630649994	830.728436186254	1027.70513894291	1591.81343948722	1929.63408683039	1139.24769283828	1155.36334906959	1421.97274043692	862.478000822572	1749.23745628491	1361.72186677932	902.050353956111	1171.32521258327	609.463595192119	557.879293953576	822.696306512208
Os01g0781600	216.347463035435	132.062162843762	110.794122967144	66.177058144945	39.3912381221042	76.3185349687978	86.1235497833602	114.536264942179	103.920909745348	59.3657090664706	70.6166876327465	47.8208735343822	135.855632354678	123.233024987423	103.226486924261	76.5910057225103	73.412316809939	65.8893058299255
Os01g0823100	1016.09503764799	1278.58787302307	1187.86712072982	496.654310120381	1176.70785748048	1624.35838619174	1266.40244010276	1475.84155348705	1823.14229659674	697.42750231721	1104.67759506122	1912.40167554369	795.1420739076	952.798752742981	1500.83038204423	600.784434971664	966.385835129168	1040.34809756833
Os01g0847700	472.162898014508	346.716335494287	363.281697314654	282.598000520773	329.060360945185	479.519475508774	573.025432831741	321.157126159406	409.692455164416	427.393739215559	328.103705174971	391.739791576518	424.04894427499	215.560430885437	366.894988452119	244.340470280572	195.725782387487	255.720732700101
Os01g0916100	492.405567289395	544.92373119195	598.791465285362	197.229472838917	279.430435381112	260.860517142186	367.126711913052	1265.27326525222	1045.87299677967	240.577757893891	550.411482327636	553.84960823405	393.910716209685	842.985222156362	608.101837000474	92.1393534868082	85.5675085551478	95.9982283114848
Os02g0106100	2402.4068647273	3808.64086348226	2764.9942500847	1348.09862164696	1558.82379804839	2100.37165777405	2445.24401602613	2320.72543621341	3110.6815492625	1153.14079621905	1904.39166325837	2757.93434596853	2863.13651930504	972.066401334789	2806.25295489331	1270.0529809923	1288.59414741298	1406.7820666444
Os02g0137700	130.573044650141	63.1325578733668	65.7497683083291	53.6488271548493	55.678057465611	154.79555324354	219.522206425744	81.1178655779268	51.524871849273	86.7427988717717	55.1425252104049	272.694932901906	116.362260445508	48.8822526596901	45.563215905684	12.9110006065066	24.0474662051179	109.915563084326
Os02g0149750	0	22.9482762646371	0	0	0	6.41533398857647	0	0	15.8679157063575	0	0	0	17.3853129873445	0	0	0	0	0
Os02g0161300	315.64914579208	232.746651618897	244.34934158556	174.613977668491	178.279770331868	203.632373976783	320.401638400013	301.486137398185	292.182712878666	285.149927408528	210.970376543422	198.759264399076	345.377481414486	188.993138811286	322.684076359976	116.944542583778	167.691108782539	122.899779554887
