V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
Os01g0110100	106.406976927153	160.518600011983	230.602799661219	177.742733040314	239.964814234387	227.99167970153	94.2858461672959	261.395176534908	179.592431676738	104.926288967927	247.702054753138	153.479862912934	80.0820668437585	301.360918355409	210.806790295204	194.620449712988	364.272148972465	311.593232119781
Os01g0110200	1716.79798036355	5267.42562350694	5694.19920553913	2848.35717797745	5797.13096832306	6396.13588134735	2794.30658249459	5088.26430494922	5544.43806314535	3135.48011911789	7156.66719594724	6005.26240628286	2154.86281454841	4561.07523707689	4141.78867408784	2984.53993863291	7322.3794051608	5178.04350795343
Os01g0113200	49.2948543432764	78.566566577534	76.9237014690923	43.3113333793347	47.9213288919536	48.1075511429959	43.0151262261842	86.5618425018888	106.914484502229	52.3914316152342	55.6301999803153	49.0755515798914	32.7469766331693	85.8153131399383	100.942176702382	53.0006953544952	58.1551993537952	50.0545343605677
Os01g0113650	21.9262601016167	18.652406150325	61.1540477683787	30.2495151864632	56.8819481631284	18.135652671641	12.3153576581768	13.5362969800441	44.943945853472	28.0409496472117	22.6681101335716	21.086611150206	0	26.5563598274409	56.8895602425414	39.5286069730193	43.426303534506	27.8106207493155
Os01g0121400	39.8161061308313	108.213752772068	139.899542156248	71.2379276917807	54.7023505150459	108.50102135625	35.5584123365013	69.9256936572	74.1770128182056	39.2770771627258	22.246776673787	44.6782828924503	29.2823707735149	61.8918515331436	115.953145239315	109.560271336637	154.499573351532	203.749888014863
Os01g0127200	110.145599449074	162.446544532276	183.605937106806	42.2972807362404	106.25015643534	156.464127419107	97.1146867232527	308.847015063662	336.137160170997	73.1587372218666	142.171757270136	179.54705818961	119.005942797838	89.054398731191	208.094462088643	56.7757007213662	132.403875051979	61.255600851054
Os01g0132500	88.6796313718786	157.537051563028	187.300080115611	157.076677540681	157.658208806363	149.128377360205	110.38195465223	155.072411195365	188.495369283817	145.713055106861	217.536197869638	152.690265504548	132.386694928815	172.823282645091	149.63379703908	167.891516490331	177.436201059161	207.721301261145
Os01g0132766	957.613050434172	3483.48410332465	4376.93423786704	4160.92189965572	4481.14922855472	4541.05014668713	1591.62246430743	3700.91058935911	4199.51316616116	3403.20707813506	4442.83437078277	3963.38049168377	1195.97567834524	4930.8672607103	3444.48448305724	4880.91913318653	4964.58575486524	4072.83261834533
Os01g0132800	179.190027798686	260.780974101821	301.742318823751	225.902912622061	323.562568501034	410.569639980175	238.599943864062	321.043063661329	366.453360981014	312.154277562734	428.34508067199	368.43957972507	183.589157259945	316.148533451319	335.051120041269	169.944199951481	311.513773500451	305.893105784612
Os01g0135700	102.578622953836	219.043462965048	238.46729507003	131.098464318899	255.728385282454	259.295160349272	81.8694322464837	128.831097056959	249.992675531502	238.637349930851	291.677031701604	287.3639520302	118.688958371529	156.223938234084	220.953495254988	206.900799225578	254.10175961569	337.600191662634
