baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
Os01g0126900	2374.35579876616	-0.746817212857571	0.220836936624913	-3.38175861461991	0.000720234025033627	0.0220504621413857	2.23225597618304
Os01g0132766	3710.68254197014	1.73051577766455	0.189288430038407	9.14221633785762	6.11852893009057e-20	5.25359446099778e-17	2.64442409702577
Os01g0135700	209.947337322313	0.929676784475341	0.253722918677607	3.66414192821357	0.00024816915271995	0.016478011321555	1.16051998648671
Os01g0149800	2809.24323483457	0.734706025583436	0.171742282192191	4.27795657659452	1.88616802837813e-05	0.000825301672792371	3.99176471457815
Os01g0164075	44.9605272409666	-4.12795409675478	1.05151416067253	-3.92572373358682	8.6469354681198e-05	0.0107466661557343	0.712897023014696
Os01g0170051	647.763901834603	-1.20364732676627	0.372893242466365	-3.22786038922343	0.00124719827704128	0.0379066876767138	1.68318038829918
Os01g0177900	120.377406987985	0.789987826665237	0.204145369913339	3.86973178476001	0.000108955153155087	0.00996620391947511	1.0063479701655
Os01g0179000	2176.87787962869	0.756348324746176	0.133438715392524	5.66813253950549	1.4436227905789e-08	2.96472016947224e-06	1.99813037520914
Os01g0186950	83.2266454159213	2.48171940431774	0.755686229423486	3.2840606427499	0.00102322902375411	0.0453225384471808	1.01309166190385
Os01g0187900	298.469158717107	0.700702810546062	0.163197330263732	4.2935923609394	1.75805130114215e-05	0.00211585827935243	1.1840743146758
Os01g0189700	150.822811710064	1.27805541379056	0.274490647022096	4.65609822285741	3.22258236422873e-06	0.00131083014985857	0.391269255012807
Os01g0190000	262.026799812813	0.700542153244224	0.213826333180111	3.27622020555411	0.00105206497511207	0.0276265406692162	2.28349262014454
Os01g0191200	118.857880361111	1.1729998096539	0.32097896509539	3.65444448767944	0.000257739419415998	0.0189640668707734	1.0063479701655
Os01g0191900	810.199372141655	0.660209112511158	0.131683212517713	5.01361638957855	5.34164310089925e-07	8.44434810537104e-05	1.68318038829918
Os01g0192300	852.689349192432	0.986475742867216	0.173086585629317	5.69931944339036	1.20286645941058e-08	2.99031668966989e-06	1.63099577867261
Os01g0192900	477.086840818572	1.20115097830028	0.245711498263883	4.88846060028619	1.01627531379665e-06	0.000153784068182853	1.63099577867261
Os01g0202500	346.104727069447	0.678564145785015	0.167853515812054	4.04259715682575	5.28623972201055e-05	0.00299006752924153	2.27222783471531
Os01g0207300	41.0294175960545	7.40198650802472	1.22832164430968	6.02609792175783	1.67965441697705e-09	1.09325812253412e-06	0.706892684523607
Os01g0207400	583.944036853323	0.783356953393199	0.195959237328798	3.99755053179154	6.40013311569915e-05	0.00464061537670382	1.63099577867261
Os01g0217000	348.500498177861	0.594509925075999	0.181496198077411	3.27560539214397	0.00105435766394452	0.0341484476240302	1.64568999184298
Os01g0232500	435.662571766924	0.632861944351762	0.1761095766631	3.59356916496618	0.000326179013109758	0.0260501615716725	0.783932348973931
Os01g0234800	161.309301982023	0.58761066685323	0.182229971248249	3.22455555926493	0.00126168372104743	0.0480540672088519	1.13915437899261
Os01g0262401	21.134394884385	7.88574430756195	1.2553118551401	6.28190060921702	3.34458656575614e-10	6.548594845886e-07	0.248501017664121
Os01g0276900	35.6448522731472	1.47532646413054	0.445283187914281	3.31323190314239	0.000922244768986634	0.0482263654946955	0.828649769479635
Os01g0294500	258.199501680292	-2.30007311426077	0.698567477759772	-3.29255682162136	0.000992808338912783	0.0318081234803105	1.77177271690577
Os01g0306400	67.175460678776	1.07239943603074	0.320257477794353	3.34855393047018	0.000812344689873698	0.0405627751131367	0.987996612187258
Os01g0309800	241.54182923479	1.96129684041742	0.241459726514993	8.12266653625831	4.56051084403592e-16	6.08373208270534e-13	1.16051998648671
Os01g0313300	125.383484811658	1.38954141495413	0.347278502462139	4.00123072721906	6.30138762619384e-05	0.00617020829794393	1.10774198098823
Os01g0315800	1438.17911108121	-2.72072980340442	0.105780207083293	-25.7205944138687	6.87812289300117e-146	1.06213359390723e-141	2.20557930712798
Os01g0315850	64.904688179929	-2.23256082302431	0.468515266358502	-4.76518265963181	1.8868264144103e-06	0.000379838190120605	1.01309166190385
Os01g0318600	226.8520446807	-0.760852129039084	0.202929256772297	-3.74934664986636	0.000177295872119578	0.0148114480598053	0.977680474665512
Os01g0339500	29.0825348672442	-1.57756758130767	0.467094590459141	-3.37740494865711	0.000731732378954326	0.0424975366972956	0.808123485487072
Os01g0356400	2506.95725834742	-0.594504724575054	0.19456272596729	-3.05559413612967	0.00224615080000444	0.0454943065417069	2.20176916511122
Os01g0370000	424.309415947693	-1.40232059359438	0.400076339176231	-3.50513253665989	0.000456380026956118	0.0323459165483661	0.783932348973931
Os01g0371500	2697.95680288831	-0.927363476709358	0.301244949551696	-3.07843659483564	0.00208089805628057	0.0394132890556687	2.64442409702577
Os01g0507000	519.857918447953	-0.639507834709092	0.173667748644753	-3.68236382229634	0.000231081310085124	0.0119560767507848	1.64568999184298
Os01g0511000	932.245782235714	1.09137196363451	0.209956757282944	5.19807972726377	2.01357769005535e-07	3.57408411795491e-05	1.68318038829918
Os01g0533900	276.267799149059	1.45920886904044	0.337081076397643	4.3289551719571	1.4981842252638e-05	0.00133952444302468	1.77177271690577
Os01g0546400	96.2437696064052	1.23241601180476	0.293124692848507	4.20440871026073	2.61765560878907e-05	0.00325707171985674	1.0063479701655
Os01g0587150	63.7618265681558	1.40240520501733	0.41004454336803	3.42012892916031	0.000625914631928721	0.0360363932004682	0.899041596849063
Os01g0597600	26.4644137492397	3.19835951061204	0.816684882533904	3.91627123143088	8.99290699567026e-05	0.0239708181383237	0.247347577385069
Os01g0600900	18246.3528890966	0.799018786793745	0.131297468385637	6.08556125733456	1.16083929332592e-09	2.73339425319176e-07	2.23225597618304
Os01g0603300	1266.49937649866	1.6181278960434	0.197079085393862	8.21055107298462	2.2017562836118e-16	1.63948857856832e-13	2.17807809220891
Os01g0609000	133.829055236041	-2.06317785273925	0.585485086070971	-3.52387772434081	0.000425280455981368	0.0474610116739807	0.391269255012807
Os01g0609300	550.524078121092	1.38937034721733	0.328735596468146	4.22640676015735	2.37452596110829e-05	0.00248320799924156	1.29754370384622
Os01g0626350	14.0976938283047	25.1825808651112	5.13600908583294	4.90314180607162	9.43158458463689e-07	0.000706801106906421	0.245667443900974
Os01g0627400	377.797430716732	0.661943381458079	0.180698681327727	3.66324411774502	0.000249040987598707	0.0100347811880262	2.27222783471531
Os01g0654100	833.024445746355	-0.698824843192022	0.170299429416546	-4.10350666227263	4.06934728836749e-05	0.00313570010050297	1.63099577867261
Os01g0654650	442.516954969511	-0.877816210019013	0.276581669559764	-3.17380472616366	0.00150454876087698	0.0426271406066307	1.65127946106027
Os01g0678000	20.1991054263752	2.84089635726728	0.778399720227378	3.64966261349301	0.000262584968997873	0.0464378261001556	0.248501017664121
Os01g0685400	160.566828186473	0.851374354980142	0.25133908769404	3.3873535660181	0.000705703781270791	0.0336203847511713	1.13915437899261
